Ep: 1780/10000 | Steps: 20 | Score: 1 | Total Reward: -50.0 | Epsilon: 0.4106 | Avg Score (last 100): 1.54 | Memory: 33028
Ep: 1790/10000 | Steps: 46 | Score: 2 | Total Reward: -106.0 | Epsilon: 0.4085 | Avg Score (last 100): 1.69 | Memory: 33383
Ep: 1800/10000 | Steps: 19 | Score: 1 | Total Reward: -49.0 | Epsilon: 0.4065 | Avg Score (last 100): 1.56 | Memory: 33628
Ep: 1810/10000 | Steps: 57 | Score: 5 | Total Reward: -7.0 | Epsilon: 0.4045 | Avg Score (last 100): 1.66 | Memory: 34031
Ep: 1820/10000 | Steps: 42 | Score: 5 | Total Reward: -42.0 | Epsilon: 0.4024 | Avg Score (last 100): 1.91 | Memory: 34494
Ep: 1830/10000 | Steps: 58 | Score: 5 | Total Reward: -8.0 | Epsilon: 0.4004 | Avg Score (last 100): 2.00 | Memory: 34881
Ep: 1840/10000 | Steps: 43 | Score: 1 | Total Reward: -23.0 | Epsilon: 0.3984 | Avg Score (last 100): 1.91 | Memory: 35069
Ep: 1850/10000 | Steps: 14 | Score: 0 | Total Reward: -64.0 | Epsilon: 0.3964 | Avg Score (last 100): 1.95 | Memory: 35305
Ep: 1860/10000 | Steps: 21 | Score: 2 | Total Reward: -81.0 | Epsilon: 0.3945 | Avg Score (last 100): 1.98 | Memory: 35575
Ep: 1870/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.3925 | Avg Score (last 100): 2.04 | Memory: 35829
Ep: 1880/10000 | Steps: 12 | Score: 1 | Total Reward: -42.0 | Epsilon: 0.3905 | Avg Score (last 100): 2.11 | Memory: 36162
Ep: 1890/10000 | Steps: 28 | Score: 1 | Total Reward: -58.0 | Epsilon: 0.3886 | Avg Score (last 100): 1.97 | Memory: 36347
Ep: 1900/10000 | Steps: 16 | Score: 1 | Total Reward: -46.0 | Epsilon: 0.3866 | Avg Score (last 100): 2.07 | Memory: 36738
